"country","city"
"Russian Federation","Lipetsk"
"Italy","Livorno"
"Russian Federation","Ljubertsy"
"Ecuador","Loja"
"United Kingdom","London"
"Canada","London"
"Poland","Lublin"
"Congo, The Democratic Republic of the","Lubumbashi"
"Taiwan","Lungtan"
"Brazil","Luzinia"
"Indonesia","Madiun"
"Madagascar","Mahajanga"
"Russian Federation","Maikop"
"Sweden","Malm"
"United States","Manchester"
"Philippines","Mandaluyong"
"Pakistan","Mandi Bahauddin"
"Germany","Mannheim"
"Venezuela","Maracabo"
"Pakistan","Mardan"
"Brazil","Maring"
"Oman","Masqat"
"Mexico","Matamoros"
"Japan","Matsue"
"China","Meixian"
"United States","Memphis"
"Argentina","Merlo"
"Mexico","Mexicali"
"India","Miraj"
"Egypt","Mit Ghamr"
"Japan","Miyakonojo"
"Belarus","Mogiljov"
"Belarus","Molodetno"
"Mexico","Monclova"
"Myanmar","Monywa"
"Russian Federation","Moscow"
"Iraq","Mosul"
"Ukraine","Mukateve"
"India","Munger (Monghyr)"
"Tanzania","Mwanza"
"Congo, The Democratic Republic of the","Mwene-Ditu"
"Myanmar","Myingyan"
"India","Mysore"
"Mozambique","Naala-Porto"
"Russian Federation","Nabereznyje Telny"
"Morocco","Nador"
"India","Nagaon"
"Japan","Nagareyama"
"Iran","Najafabad"
"South Korea","Naju"
"Thailand","Nakhon Sawan"
"Vietnam","Nam Dinh"
"Angola","Namibe"
"Taiwan","Nantou"
"China","Nanyang"
"Chad","NDjamna"
"South Africa","Newcastle"
"Mexico","Nezahualcyotl"
"Vietnam","Nha Trang"
"Russian Federation","Niznekamsk"
"Yugoslavia","Novi Sad"
"Russian Federation","Novoterkassk"
"Tonga","Nukualofa"
"Greenland","Nuuk"
"Kenya","Nyeri"
"Venezuela","Ocumare del Tuy"
"Nigeria","Ogbomosho"
"Pakistan","Okara"
"Japan","Okayama"
"Japan","Okinawa"
"Czech Republic","Olomouc"
"Sudan","Omdurman"
"Japan","Omiya"
"Nigeria","Ondo"
"Japan","Onomichi"
"Canada","Oshawa"
"Turkey","Osmaniye"
"Ukraine","ostka"
"Japan","Otsu"
"Finland","Oulu"
"Spain","Ourense (Orense)"
"Nigeria","Owo"
"Nigeria","Oyo"
"Philippines","Ozamis"
"South Africa","Paarl"
"Mexico","Pachuca de Soto"
"Thailand","Pak Kret"
"India","Palghat (Palakkad)"
"Indonesia","Pangkal Pinang"
"French Polynesia","Papeete"
"India","Parbhani"
"India","Pathankot"
"India","Patiala"
"Greece","Patras"
"Kazakstan","Pavlodar"
"Indonesia","Pemalang"
"United States","Peoria"
"Colombia","Pereira"
"Cambodia","Phnom Penh"
"China","Pingxiang"
"Russian Federation","Pjatigorsk"
"Poland","Plock"
"Brazil","Po"
"Puerto Rico","Ponce"
"Indonesia","Pontianak"
"Brazil","Poos de Caldas"
"Ecuador","Portoviejo"
"Indonesia","Probolinggo"
"India","Pudukkottai"
"India","Pune"
"India","Purnea (Purnia)"
"Indonesia","Purwakarta"
"North Korea","Pyongyang"
"Egypt","Qalyub"
"China","Qinhuangdao"
"Iran","Qomsheh"
"Argentina","Quilmes"
"India","Rae Bareli"
"India","Rajkot"
"India","Rampur"
"Chile","Rancagua"
"India","Ranchi"
"Canada","Richmond Hill"
"Brazil","Rio Claro"
"China","Rizhao"
"United States","Roanoke"
"Ecuador","Robamba"
"United States","Rockford"
"Bulgaria","Ruse"
"South Africa","Rustenburg"
"Netherlands","s-Hertogenbosch"
"Germany","Saarbrcken"
"Japan","Sagamihara"
"United States","Saint Louis"
"Runion","Saint-Denis"
"Morocco","Sal"
"Oman","Salala"
"Mexico","Salamanca"
"United States","Salinas"
"Austria","Salzburg"
"India","Sambhal"
"United States","San Bernardino"
"Dominican Republic","San Felipe de Puerto Plata"
"Mexico","San Felipe del Progreso"
"Mexico","San Juan Bautista Tuxtepec"
"Paraguay","San Lorenzo"
"Argentina","San Miguel de Tucumn"
"Yemen","Sanaa"
"Brazil","Santa Brbara dOeste"
"Argentina","Santa F"
"Philippines","Santa Rosa"
"Spain","Santiago de Compostela"
"Dominican Republic","Santiago de los Caballeros"
"Brazil","Santo Andr"
"China","Sanya"
"Japan","Sasebo"
"India","Satna"
"Egypt","Sawhaj"
"Russian Federation","Serpuhov"
"Iran","Shahr-e Kord"
"China","Shanwei"
"China","Shaoguan"
"United Arab Emirates","Sharja"
"China","Shenzhen"
"Pakistan","Shikarpur"
"India","Shimoga"
"Japan","Shimonoseki"
"India","Shivapuri"
"Egypt","Shubra al-Khayma"
"Germany","Siegen"
"India","Siliguri (Shiliguri)"
"Ukraine","Simferopol"
"Colombia","Sincelejo"
"Iran","Sirjan"
"Turkey","Sivas"
"Algeria","Skikda"
"Russian Federation","Smolensk"
"Brazil","So Bernardo do Campo"
"Brazil","So Leopoldo"
"Colombia","Sogamoso"
"Nigeria","Sokoto"
"Thailand","Songkhla"
"Brazil","Sorocaba"
"South Africa","Soshanguve"
"Tunisia","Sousse"
"Anguilla","South Hill"
"United Kingdom","Southampton"
"United Kingdom","Southend-on-Sea"
"United Kingdom","Southport"
"South Africa","Springs"
"Bulgaria","Stara Zagora"
"United States","Sterling Heights"
"United Kingdom","Stockport"
"Bolivia","Sucre"
"China","Suihua"
"Peru","Sullana"
"Turkey","Sultanbeyli"
"Azerbaijan","Sumqayit"
"Ukraine","Sumy"
"Malaysia","Sungai Petani"
"United States","Sunnyvale"
"Indonesia","Surakarta"
"Russian Federation","Syktyvkar"
"Italy","Syrakusa"
"Hungary","Szkesfehrvr"
"Tanzania","Tabora"
"Iran","Tabriz"
"Saudi Arabia","Tabuk"
"American Samoa","Tafuna"
"Philippines","Taguig"
"Yemen","Taizz"
"Philippines","Talavera"
"United States","Tallahassee"
"Japan","Tama"
"India","Tambaram"
"Philippines","Tanauan"
"Argentina","Tandil"
"Bangladesh","Tangail"
"Taiwan","Tanshui"
"Philippines","Tanza"
"Philippines","Tarlac"
"Turkey","Tarsus"
"Estonia","Tartu"
"Russian Federation","Teboksary"
"Indonesia","Tegal"
"Israel","Tel Aviv-Jaffa"
"Mozambique","Tete"
"China","Tianjin"
"China","Tiefa"
"China","Tieli"
"Turkey","Tokat"
"South Korea","Tonghae"
"China","Tongliao"
"Mexico","Torren"
"Taiwan","Touliu"
"France","Toulon"
"France","Toulouse"
"Faroe Islands","Trshavn"
"Taiwan","Tsaotun"
"Japan","Tsuyama"
"Philippines","Tuguegarao"
"Poland","Tychy"
"India","Udaipur"
"Italy","Udine"
"Japan","Ueda"
"South Korea","Uijongbu"
"India","Uluberia"
"Japan","Urawa"
"Mexico","Uruapan"
"Turkey","Usak"
"Russian Federation","Usolje-Sibirskoje"
"India","Uttarpara-Kotrung"
"Liechtenstein","Vaduz"
"Venezuela","Valencia"
"Venezuela","Valle de la Pascua"
"Mexico","Valle de Santiago"
"India","Valparai"
"Canada","Vancouver"
"India","Varanasi (Benares)"
"Argentina","Vicente Lpez"
"India","Vijayawada"
"Brazil","Vila Velha"
"Lithuania","Vilnius"
"Vietnam","Vinh"
"Brazil","Vitria de Santo Anto"
"United States","Warren"
"China","Weifang"
"Germany","Witten"
"Australia","Woodridge"
"Poland","Wroclaw"
"China","Xiangfan"
"China","Xiangtan"
"China","Xintai"
"China","Xinxiang"
"India","Yamuna Nagar"
"Nauru","Yangor"
"China","Yantai"
"Cameroon","Yaound"
"Armenia","Yerevan"
"China","Yinchuan"
"China","Yingkou"
"United Kingdom","York"
"China","Yuncheng"
"China","Yuzhou"
"China","Zalantun"
"Tanzania","Zanzibar"
"China","Zaoyang"
"Mexico","Zapopan"
"Nigeria","Zaria"
"Russian Federation","Zeleznogorsk"
"Kazakstan","Zhezqazghan"
"China","Zhoushan"
"Senegal","Ziguinchor"
